CN Code;Description;Conventional rate of duty (%);Supplementary unit;Conventional Rate of duty (%);Note;CAS RN;Name;Chapter;Section;Section Name;Chapter Name
8906 10 00;– Warships;;;;;;;89;XVII;VEHICLES, AIRCRAFT, VESSELS AND ASSOCIATED TRANSPORT EQUIPMENT;SHIPS, BOATS AND FLOATING STRUCTURES
8906 90;– Other;;;;;;;89;XVII;VEHICLES, AIRCRAFT, VESSELS AND ASSOCIATED TRANSPORT EQUIPMENT;SHIPS, BOATS AND FLOATING STRUCTURES
8906 90 10;– – Seagoing;;;;;;;89;XVII;VEHICLES, AIRCRAFT, VESSELS AND ASSOCIATED TRANSPORT EQUIPMENT;SHIPS, BOATS AND FLOATING STRUCTURES
1;2;3;4;;;;;1;I;"LIVE ANIMALS; ANIMAL PRODUCTS";LIVE ANIMALS
1;2;3;4;;;;;1;I;"LIVE ANIMALS; ANIMAL PRODUCTS";LIVE ANIMALS
1;2;3;4;;;;;1;I;"LIVE ANIMALS; ANIMAL PRODUCTS";LIVE ANIMALS
1;2;3;4;;;;;1;I;"LIVE ANIMALS; ANIMAL PRODUCTS";LIVE ANIMALS
1;2;3;4;;;;;1;I;"LIVE ANIMALS; ANIMAL PRODUCTS";LIVE ANIMALS
1;2;3;4;;;;;1;I;"LIVE ANIMALS; ANIMAL PRODUCTS";LIVE ANIMALS
1;2;3;4;;;;;1;I;"LIVE ANIMALS; ANIMAL PRODUCTS";LIVE ANIMALS
1;2;3;4;;;;;1;I;"LIVE ANIMALS; ANIMAL PRODUCTS";LIVE ANIMALS
1;2;3;4;;;;;1;I;"LIVE ANIMALS; ANIMAL PRODUCTS";LIVE ANIMALS
1;2;3;4;;;;;1;I;"LIVE ANIMALS; ANIMAL PRODUCTS";LIVE ANIMALS
1001;Wheat and meslin:;;;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1001 11 00;– – Seed;►M230  148 €/t (1) ()  ◄;—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1001 19 00;– – Other;►M230  148 €/t (1) (2) ()  ◄;—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1001 91;– – Seed:;;;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1001 91 10;– – – Spelt (3);►M230  12,8 ()  ◄;—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1001 91 20;– – – Common wheat and meslin;►M230  95 €/t (1) ()  ◄;—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1001 91 90;– – – Other;►M230  95 €/t ◄;—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1001 99 00;– – Other;►M230  95 €/t (1) (2) ()  ◄;—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1002;Rye:;;;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1002 10 00;– Seed;►M230  93 €/t (1) ()  ◄;—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1002 90 00;– Other;►M230  93 €/t (1) ()  ◄;—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1003;Barley:;;;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1003 10 00;– Seed;►M230  93 €/t (2)  ◄;—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1003 90 00;– Other;►M230  93 €/t (2)  ◄;—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1004;Oats:;;;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1004 10 00;– Seed;89 €/t;—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1004 90 00;– Other;89 €/t;—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1005;Maize (corn):;;;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1005 10;– Seed:;;;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1005 10 13;– – – Three-cross hybrids;►M230  Free ()  ◄;—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1005 10 15;– – – Simple hybrids;►M230  Free ()  ◄;—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1005 10 18;– – – Other;►M230  Free ()  ◄;—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1005 10 90;– – Other;►M230  94 €/t (1) (2) ()  ◄;—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1005 90 00;– Other;►M230  94 €/t (1) (2) ()  ◄;—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1006;Rice:;;;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1006 10;– Rice in the husk (paddy or rough):;;;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1006 10 10;– – For sowing (3);77;—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1006 10 30;– – – Round grain;211 €/t (2);—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1006 10 50;– – – Medium grain;211 €/t (2);—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1006 10 71;– – – – Of a length/width ratio greater than 2 but less than 3;211 €/t (2);—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1006 10 79;– – – – Of a length/width ratio equal to or greater than 3;211 €/t (2);—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1006 10 90;– – – Other;211 €/t (2);—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1006 20;– Husked (brown) rice:;;;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1006 20 11;– – – Round grain;65 €/t (2) (4);—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1006 20 13;– – – Medium grain;65 €/t (2) (4);—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1006 20 15;– – – – Of a length/width ratio greater than 2 but less than 3;65 €/t (2) (4);—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1006 20 17;– – – – Of a length/width ratio equal to or greater than 3 (5);65 €/t (2) (4);—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1006 20 19;– – – Other (5);65 €/t (2) (4);—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1006 20 92;– – – Round grain;65 €/t (2) (4);—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1006 20 94;– – – Medium grain;65 €/t (2) (4);—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1006 20 96;– – – – Of a length/width ratio greater than 2 but less than 3;65 €/t (2) (4);—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1006 20 98;– – – – Of a length/width ratio equal to or greater than 3 (5);65 €/t (2) (4);—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1006 20 99;– – – Other (5);65 €/t (2) (4);—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1006 30;– Semi-milled or wholly milled rice, whether or not polished or glazed:;;;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1006 30 21;– – – – Round grain;175 €/t (2) (4);—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
1006 30 23;– – – – Medium grain;175 €/t (4) (2);—;;;;;10;II;VEGETABLE PRODUCTS;CEREALS
